question,answer,total,original_question,original_answer
190,hyperbolic paraboloid,hyperbolic paraboloid doubly surface thus used construct saddle roof straight example,hyperbolic paraboloid hyperbolic paraboloid doubly surface thus used construct saddle roof straight example,What is hyperbolic paraboloid?,"The hyperbolic paraboloid is a doubly ruled surface and thus can be used to construct a saddle roof from straight beams.

For example:

![](https://asu-media.s3-us-west-1.amazonaws.com/Screen+Shot+2021-05-25+at+2.16.46+PM.png)"
191,quadratic function,quadratic function one form f x c b c equal zero graph quadratic function curve parabola may open upward downward vary width steepness basic u shape,quadratic function quadratic function one form f x c b c equal zero graph quadratic function curve parabola may open upward downward vary width steepness basic u shape,What is quadratic function?,"A quadratic function is one of the form f(x) = ax^2 + bx + c, where a, b, and c are numbers with a not equal to zero. The graph of a quadratic function is a curve called a parabola. Parabolas may open upward or downward and vary in ""width"" or ""steepness"", but they all have the same basic ""U"" shape."
192,quadric surface,quadric defined quadratic two dimensional space cones quadric revolution finite curve two swept three dimensional space one axis create surface,quadric surface quadric defined quadratic two dimensional space cones quadric revolution finite curve two swept three dimensional space one axis create surface,What is quadric surface?,Quadric surfaces are defined by quadratic equations in two dimensional space. Spheres and cones are examples of quadrics. The quadric surfaces of RenderMan are surfaces of revolution in which a finite curve in two dimensions is swept in three dimensional space about one axis to create a surface.
193,quadric surface cone,definition quadric conic quadric expressed form quadric surface plane trace conic section,quadric surface cone definition quadric conic quadric expressed form quadric surface plane trace conic section,What is quadric surface cone?,"Definition: Quadric surfaces and conic sections. Quadric surfaces are the graphs of equations that can be expressed in the form. Ax^2+By^2+Cz^2+Dxy+Exz+Fyz+Gx+Hy+Jz+K=0. When a quadric surface intersects a coordinate plane, the trace is a conic section."
194,quadric surface hyperboloid,quadric defined quadratic two dimensional space cones quadric revolution finite curve two swept three dimensional space one axis create surface example,quadric surface hyperboloid quadric defined quadratic two dimensional space cones quadric revolution finite curve two swept three dimensional space one axis create surface example,What is quadric surface hyperboloid?,"Quadric surfaces are defined by quadratic equations in two dimensional space. Spheres and cones are examples of quadrics. The quadric surfaces of RenderMan are surfaces of revolution in which a finite curve in two dimensions is swept in three dimensional space about one axis to create a surface.

Example:
![](https://asu-media.s3-us-west-1.amazonaws.com/Screen+Shot+2021-05-25+at+2.20.02+PM.png)"
195,quadric surface paraboloid,many quadric different conic usually name surface example surface equation form call surface elliptic paraboloid,quadric surface paraboloid many quadric different conic usually name surface example surface equation form call surface elliptic paraboloid,What is quadric surface paraboloid?,"Many quadric surfaces have traces that are different kinds of conic sections, and this is usually indicated by the name of the surface. For example, if a surface can be described by an equation of the form. x^2a2+y^2b2=zc. then we call that surface an elliptic paraboloid."
196,quaternion,quaternion two x z component axis rotation occur also w component amount rotation occur axis short vector float,quaternion quaternion two x z component axis rotation occur also w component amount rotation occur axis short vector float,What is quaternion?,"A quaternion represents two things. It has an x, y, and z component, which represents the axis about which a rotation will occur. It also has a w component, which represents the amount of rotation which will occur about this axis. In short, a vector, and a float."
197,implicit function theorem,implicit function function defined implicit equation one value thus implicit function context unit circle defined implicitly f x,implicit function theorem implicit function function defined implicit equation one value thus implicit function context unit circle defined implicitly f x,What is Implicit Function Theorem?,"An implicit function is a function that is defined by an implicit equation, by associating one of the variables (the value) with the others (the arguments). Thus, an implicit function for y in the context of the unit circle is defined implicitly by $x^{2} + {f(x)}^{2} - 1 = 0$."
198,improper integral,improper integral definite integral either infinite integrand infinity one range integration,improper integral improper integral definite integral either infinite integrand infinity one range integration,What is improper integral?,An improper integral is a definite integral that has either or both limits infinite or an integrand that approaches infinity at one or more points in the range of integration.
199,improper integral,improper integral said converge corresponding limit otherwise,improper integral improper integral said converge corresponding limit otherwise,What is convergence/divergence of improper integral?,"An improper integral is said to converge if its corresponding limit exists; otherwise, it diverges."
200,comparison theorem improper integral,comparison theorem improper similar comparison test convergence study part series draw conclusion convergence divergence improper integral without actually integral,comparison theorem improper integral comparison theorem improper similar comparison test convergence study part series draw conclusion convergence divergence improper integral without actually integral,What is Comparison Theorem for improper integral?,"The comparison theorem for improper integrals is very similar to the comparison test for convergence that you'll study as part of Sequences & Series. It allows you to draw a conclusion about the convergence or divergence of an improper integral, without actually evaluating the integral itself."
201,test,test x interval f increasing interval b x interval f decreasing interval definition critical number function f number c domain f either c c exist,test test x interval f increasing interval b x interval f decreasing interval definition critical number function f number c domain f either c c exist,What is Increasing/Decreasing Test?,"Increasing/Decreasing Test: (a) If f/(x) > 0 on an interval, then f is increasing on that interval. (b) If f/(x) < 0 on an interval, then f is decreasing on that interval. Definition: A critical number of a function f is a number c in the. domain of f such that either f/(c)=0or f/(c) does not exist."
202,radian measure,radian measure ratio length circular arc radius arc r one radian measure central angle arc equal length radius circle,radian measure radian measure ratio length circular arc radius arc r one radian measure central angle arc equal length radius circle,What is radian measure?,Radian measure is the ratio of the length of a circular arc (a) to the radius of the arc (r). One radian is the measure of a central angle subtended by an arc that is equal in length to the radius of the circle.
203,radius gyration,radius gyration generally defined distance axis rotation point total mass body supposed concentrated moment inertia axis may remain simply gyration distribution object,radius gyration radius gyration generally defined distance axis rotation point total mass body supposed concentrated moment inertia axis may remain simply gyration distribution object,What is radius of gyration?,"Radius of gyration is generally defined as the distance from the axis of rotation to a point where total mass of any body is supposed to be concentrated, so that the moment of inertia about the axis may remain same. Simply, gyration is the distribution of the components of an object."
204,ramp function,ramp function unary real function whose graph shaped like ramp expressed numerous example negative output input term ramp also used scaling shifting function article unit ramp function slope starting example,ramp function ramp function unary real function whose graph shaped like ramp expressed numerous example negative output input term ramp also used scaling shifting function article unit ramp function slope starting example,What is ramp function?,"The ramp function is a unary real function, whose graph is shaped like a ramp. It can be expressed by numerous definitions, for example ""0 for negative inputs, output equals input for non-negative inputs"". The term ""ramp"" can also be used for other functions obtained by scaling and shifting, and the function in this article is the unit ramp function (slope 1, starting at 0).

Example:

![](https://asu-media.s3-us-west-1.amazonaws.com/Screen+Shot+2021-05-25+at+3.21.33+PM.png)


"
205,range function,range function complete set possible resulting dependent variable usually substituted domain plain definition range resulting get substituting possible,range function range function complete set possible resulting dependent variable usually substituted domain plain definition range resulting get substituting possible,What is range of a function?,"The range of a function is the complete set of all possible resulting values of the dependent variable y, usually after we have substituted the domain. In plain English, the definition means: The range is the resulting y-values we get after substituting all the possible x-values."
206,rate,quantity amount degree something measured per unit something else example rate per minute b amount payment charge based another amount specifically example amount premium per unit insurance,rate quantity amount degree something measured per unit something else example rate per minute b amount payment charge based another amount specifically example amount premium per unit insurance,What is rate?,"1a : a quantity, amount, or degree of something measured per unit of something else. For example, her typing rate was 80 words per minute.
b : an amount of payment or charge based on another amount specifically. For example, the amount of premium per unit of insurance."
207,rate average,average rate single rate property one location weighted average individual applicable location,rate average average rate single rate property one location weighted average individual applicable location,What is rate average?,Average Rate — a single rate applying to property at more than one location that is a weighted average of the individual rates applicable to each location.
208,independent variable,independent variable exactly like variable alone trying measure example someone age might independent variable,independent variable independent variable exactly like variable alone trying measure example someone age might independent variable,What is independent variable?,"An independent variable is exactly what it sounds like; it is a variable that stands alone and isn't changed by the other variables that you are trying to measure. For example, someone's age might be an independent variable."
209,indeterminate,indeterminate form expression two whose limit determined solely individual common calculus indeed limit definition derivative limit indeterminate form,indeterminate indeterminate form expression two whose limit determined solely individual common calculus indeed limit definition derivative limit indeterminate form,What is indeterminate forms of limits?,"An indeterminate form is an expression involving two functions whose limit cannot be determined solely from the limits of the individual functions. These forms are common in calculus; indeed, the limit definition of the derivative is the limit of an indeterminate form."
210,inertia,inertia property body virtue agency put motion moving change magnitude direction velocity inertia passive property enable body anything except oppose active torques,inertia inertia property body virtue agency put motion moving change magnitude direction velocity inertia passive property enable body anything except oppose active torques,What is inertia?,"Inertia, property of a body by virtue of which it opposes any agency that attempts to put it in motion or, if it is moving, to change the magnitude or direction of its velocity. Inertia is a passive property and does not enable a body to do anything except oppose such active agents as forces and torques."
211,derivative rate,derivative f instantaneous rate change f x respect x x instantaneous rate change large curve rapidly tangent large slope,derivative rate derivative f instantaneous rate change f x respect x x instantaneous rate change large curve rapidly tangent large slope,What is derivative as rate?,"The derivative, f(a) is the instantaneous rate of change of y = f(x) with respect to x when x = a. When the instantaneous rate of change is large at $x_1$, the y-vlaues on the curve are changing rapidly and the tangent has a large slope."
212,infinite discontinuity,infinite discontinuity type essential discontinuity one one sided go toward infinity essential discontinuity also exist,infinite discontinuity infinite discontinuity type essential discontinuity one one sided go toward infinity essential discontinuity also exist,What is infinite discontinuity?,An infinite discontinuity is a type of essential discontinuity where one or both of the one sided limits go toward infinity. Essential discontinuity limits can also not exist.
213,rate instantaneous,instantaneous rate rate instant time instantaneous rate differential rate reactant product determine instantaneous rate time calculating negative slope curve concentration reactant versus time time,rate instantaneous instantaneous rate rate instant time instantaneous rate differential rate reactant product determine instantaneous rate time calculating negative slope curve concentration reactant versus time time,What is rate instantaneous?,An instantaneous rate is the rate at some instant in time. An instantaneous rate is a differential rate: -d[reactant]/dt or d[product]/dt. We determine an instantaneous rate at time t: by calculating the negative of the slope of the curve of concentration of a reactant versus time at time t.
214,ratio test,ratio test one used determine convergence divergence infinite series even use ratio test find radius interval convergence power series many test use trying find whether series,ratio test ratio test one used determine convergence divergence infinite series even use ratio test find radius interval convergence power series many test use trying find whether series,What is Ratio Test?,Ratio test is one of the tests used to determine the convergence or divergence of infinite series. You can even use the ratio test to find the radius and interval of convergence of power series! Many students have problems of which test to use when trying to find whether the series converges or diverges.
215,rational function,mathematics rational function function defined rational fraction algebraic fraction numerator denominator need rational may taken field case one rational function rational fraction may taken field l domain function set denominator zero rational function r x rational function since numerator polynomial denominator also polynomial,rational function mathematics rational function function defined rational fraction algebraic fraction numerator denominator need rational may taken field case one rational function rational fraction may taken field l domain function set denominator zero rational function r x rational function since numerator polynomial denominator also polynomial,What is rational function?,"In mathematics, a rational function is any function that can be defined by a rational fraction, which is an algebraic fraction such that both the numerator and the denominator are polynomials. The coefficients of the polynomials need not be rational numbers; they may be taken in any field K. In this case, one speaks of a rational function and a rational fraction over K. The values of the variables may be taken in any field L containing K. Then the domain of the function is the set of the values of the variables for which the denominator is not zero and the codomain is L.

Examples of Rational Functions The function R(x) = (x^2 + 4x - 1) / (3x^2 - 9x + 2) is a rational function since the numerator, x^2 + 4x - 1, is a polynomial and the denominator, 3x^2 - 9x + 2 is also a polynomial."
216,continuity rational function,rational continuous real except denominator zero denominator rational function f x zero number x function discontinuous,continuity rational function rational continuous real except denominator zero denominator rational function f x zero number x function discontinuous,What is continuity of rational function?,"Rational functions are continuous for all real numbers except at those where the denominator is zero. If the denominator of a rational function f(x) is zero at x=a, then it contains some number of factors of (x - a) which makes the function discontinuous."
217,rational function integration partial,know rational function ratio two p x x q x degree p x lesser degree q x proper fraction else improper fraction even fraction improper reduced proper fraction long division process,rational function integration partial know rational function ratio two p x x q x degree p x lesser degree q x proper fraction else improper fraction even fraction improper reduced proper fraction long division process,What is rational function integration by partial fractions?,"We know that a rational function is a ratio of two polynomials P(x)/Q(x), where Q(x) ≠ 0. Now, if the degree of P(x) is lesser than the degree of Q(x), then it is a proper fraction, else it is an improper fraction. Even if a fraction is improper, it can be reduced to a proper fraction by the long division process."
218,reciprocal function,reciprocal constant denominator polynomial denominator reciprocal function determined finding expression f x graph reciprocal function function table transforming graph domain range reciprocal function depend symmetry reciprocal function graph depend constant sign,reciprocal function reciprocal constant denominator polynomial denominator reciprocal function determined finding expression f x graph reciprocal function function table transforming graph domain range reciprocal function depend symmetry reciprocal function graph depend constant sign,What is reciprocal function?,"Reciprocal functions are functions that have a constant on their denominator and a polynomial on their denominator. The reciprocal of a function,  can be determined by finding the expression for 1 / f( x ) . We can graph a reciprocal function using the function's table of values and transforming the graph of y = 1 / x. The domain and range of a reciprocal function will depend on the asymptotes’ values. The symmetry of the reciprocal function’s graph will depend on the constant’s sign."
219,reciprocal rule,reciprocal rule derivative reciprocal function f derivative reciprocal rule used show power rule negative already established positive also one readily deduce quotient rule reciprocal rule product rule,reciprocal rule reciprocal rule derivative reciprocal function f derivative reciprocal rule used show power rule negative already established positive also one readily deduce quotient rule reciprocal rule product rule,What is Reciprocal Rule?,"The reciprocal rule gives the derivative of the reciprocal of a function f in terms of the derivative of f. The reciprocal rule can be used to show that the power rule holds for negative exponents if it has already been established for positive exponents. Also, one can readily deduce the quotient rule from the reciprocal rule and the product rule.

"
220,rectangular,rectangular system two real number intersect right angle horizontal number line vertical number line define flat surface plane point plane associated ordered pair real x first number second number intersection two axes known origin point,rectangular rectangular system two real number intersect right angle horizontal number line vertical number line define flat surface plane point plane associated ordered pair real x first number second number intersection two axes known origin point,What is rectangular coordinates?,"The rectangular coordinate system consists of two real number lines that intersect at a right angle. The horizontal number line is called the x-axis, and the vertical number line is called the y-axis. These two-number lines define a flat surface called a plane, and each point on this plane is associated with an ordered pair of real numbers (x, y). The first number is called the x-coordinate, and the second number is called the y-coordinate. The intersection of the two axes is known as the origin, which corresponds to the point (0, 0)."
221,infinite interval,infinite interval interval whose least one infinity infinity symbol minus infinity plus infinity,infinite interval infinite interval interval whose least one infinity infinity symbol minus infinity plus infinity,What is infinite interval?,"An infinite interval is an interval, whose at least one endpoint is an infinity. The infinity is denoted with a symbol: What is more, there is the minus infinity and the plus infinity ."
222,rectilinear motion,linear motion also rectilinear motion motion along straight line therefore mathematically one spatial dimension linear motion two uniform linear motion constant velocity zero acceleration linear motion variable velocity acceleration motion particle object along line position x time example linear motion athlete running along straight track,rectilinear motion linear motion also rectilinear motion motion along straight line therefore mathematically one spatial dimension linear motion two uniform linear motion constant velocity zero acceleration linear motion variable velocity acceleration motion particle object along line position x time example linear motion athlete running along straight track,What is rectilinear motion?,"Linear motion, also called rectilinear motion,is one-dimensional motion along a straight line, and can therefore be described mathematically using only one spatial dimension. The linear motion can be of two types: uniform linear motion with constant velocity or zero acceleration; and non-uniform linear motion with variable velocity or non-zero acceleration. The motion of a particle (a point-like object) along a line can be described by its position x, which varies with t (time). An example of linear motion is an athlete running 100m along a straight track.


"
223,inflection point,inflection function concavity concave concave vice found considering second derivative,inflection point inflection function concavity concave concave vice found considering second derivative,What is inflection point?,"Inflection points are points where the function changes concavity, i.e. from being ""concave up"" to being ""concave down"" or vice versa. They can be found by considering where the second derivative changes signs."
224,reduction formula,integral calculus integration reduction formulae method recurrence used expression integer parameter usually form elementary transcendental arbitrary degree ca directly integration reduction formula set obtain integral similar expression lower integer parameter progressively integral method integration one used reduction formula one us solve integral problem reducing problem easier integral problem reducing problem easier problem found,reduction formula integral calculus integration reduction formulae method recurrence used expression integer parameter usually form elementary transcendental arbitrary degree ca directly integration reduction formula set obtain integral similar expression lower integer parameter progressively integral method integration one used reduction formula one us solve integral problem reducing problem easier integral problem reducing problem easier problem found,What is reduction formula?,"In integral calculus, integration by reduction formulae is a method relying on recurrence relations. It is used when an expression containing an integer parameter, usually in the form of powers of elementary functions, or products of transcendental functions and polynomials of arbitrary degree, can't be integrated directly. But using other methods of integration a reduction formula can be set up to obtain the integral of the same or similar expression with a lower integer parameter, progressively simplifying the integral until it can be evaluated. This method of integration is one of the earliest used.

A reduction formula is one that enables us to solve an integral problem by reducing it to a problem of solving an easier integral problem, and then reducing that to the problem of solving an easier problem, and so on.

Examples can be found here : https://byjus.com/reduction-formula/"
225,region two,area two integral absolute value difference,region two area two integral absolute value difference,What is region between two curves?,The area between two curves is the integral of the absolute value of their difference. 
226,initial condition,initial condition starting point differential equation x general solution differential equation thus one find value generic constant c,initial condition initial condition starting point differential equation x general solution differential equation thus one find value generic constant c,What is initial condition?,"An initial condition is a ""starting point"" for a differential equation. That is, it gives a coordinate (x,y) that satisfies the general solution to the differential equation, thus allowing one to find the value of the generic constant C."
227,region simple solid,region e simple solid region simultaneously example bounded rectangular simple solid note boundary e closed surface,region simple solid region e simple solid region simultaneously example bounded rectangular simple solid note boundary e closed surface,What is region simple solid?,"A region E is called a simple solid region if it is simultaneously of types 1, 2, and 3. (For example, regions bounded by ellipsoids or rectangular boxes are simple solid regions.) Note that the boundary of E is a closed surface."
228,problem,boundary value problem independent variable equation whereas initial value problem value independent variable value lower boundary domain thus term initial problem,problem boundary value problem independent variable equation whereas initial value problem value independent variable value lower boundary domain thus term initial problem,What is initial-value problem?,"A boundary value problem has conditions specified at the extremes (""boundaries"") of the independent variable in the equation whereas an initial value problem has all of the conditions specified at the same value of the independent variable (and that value is at the lower boundary of the domain, thus the term ""initial"" in initial-value problem.  "
229,region curve,area curve region bounded given function horizontal,region curve area curve region bounded given function horizontal,What is region under a curve?,"Area under a curve is the region bounded by the given function, horizontal lines, and the y –axis."
230,regular partition,given set collection partition regular every set collection property matter partitioned finitely many least one also belong collection,regular partition given set collection partition regular every set collection property matter partitioned finitely many least one also belong collection,What is regular partition?,"Given a set , a collection of subsets is called partition regular if every set A in the collection has the property that, no matter how A is partitioned into finitely many subsets, at least one of the subsets will also belong to the collection."
231,inner product,inner product generalization dot product vector space way multiply together result multiplication scalar,inner product inner product generalization dot product vector space way multiply together result multiplication scalar,What is inner product?,"An inner product is a generalization of the dot product. In a vector space, it is a way to multiply vectors together, with the result of this multiplication being a scalar."
232,related,related problem problem least two figure rate one given sufficient information,related related problem problem least two figure rate one given sufficient information,What is related rates?,"A ""related rates"" problem is a problem which involves at least two changing quantities and asks you to figure out the rate at which one is changing given sufficient information on all of the others."
233,instantaneous rate change,instantaneous rate change change rate particular instant change derivative value specific point graph instantaneous rate change specific point tangent line slope curve slope,instantaneous rate change instantaneous rate change change rate particular instant change derivative value specific point graph instantaneous rate change specific point tangent line slope curve slope,What is instantaneous rate of change?,"The instantaneous rate of change is the change in the rate at a particular instant, and it is same as the change in the derivative value at a specific point. For a graph, the instantaneous rate of change at a specific point is the same as the tangent line slope. That is, it is a curve slope."
234,instantaneous velocity,quantity us fast object moving anywhere along path instantaneous velocity usually simply velocity average velocity two path limit time therefore displacement two zero,instantaneous velocity quantity us fast object moving anywhere along path instantaneous velocity usually simply velocity average velocity two path limit time therefore displacement two zero,What is instantaneous velocity?,"The quantity that tells us how fast an object is moving anywhere along its path is the instantaneous velocity, usually called simply velocity. It is the average velocity between two points on the path in the limit that the time (and therefore the displacement) between the two points approaches zero."
235,strategy calculating relative error,relative error amount error measurement total measurement calculate relative error subtract measured value real value divide absolute number real value get relative error multiply get percent error,strategy calculating relative error relative error amount error measurement total measurement calculate relative error subtract measured value real value divide absolute number real value get relative error multiply get percent error,What is strategy for calculating relative error?,"The relative error is the amount of error your measurement contains when compared to the total measurement.

To calculate relative error, subtract the measured value by the real value and then divide the absolute of that number by the real value to get the relative error. We can then multiply by 100% to get the percent error."
236,relative maximum minimum,relative maximum point point function direction increasing decreasing making point peak graph similarly relative minimum point point function direction decreasing increasing making point bottom graph,relative maximum minimum relative maximum point point function direction increasing decreasing making point peak graph similarly relative minimum point point function direction decreasing increasing making point bottom graph,What is relative maximum and minimum?,"A relative maximum point is a point where the function changes direction from increasing to decreasing (making that point a ""peak"" in the graph). Similarly, a relative minimum point is a point where the function changes direction from decreasing to increasing (making that point a ""bottom"" in the graph)."
237,remainder estimate alternating series,quantity accurately nth partial sum alternating series sum series alternating series convergent remainder finite number,remainder estimate alternating series quantity accurately nth partial sum alternating series sum series alternating series convergent remainder finite number,What is remainder estimate for an alternating series?,A quantity that measures how accurately the nth partial sum of an alternating series estimates the sum of the series. If an alternating series is not convergent then the remainder is not a finite number.
238,removable discontinuity,removable discontinuity point graph connected made connected filling single point function bottom term discontinuity denominator zero removable graph hole term cancel discontinuity x value corresponding term denominator zero graph vertical asymptote,removable discontinuity removable discontinuity point graph connected made connected filling single point function bottom term discontinuity denominator zero removable graph hole term cancel discontinuity x value corresponding term denominator zero graph vertical asymptote,What is removable discontinuity?,"A removable discontinuity is a point at which a graph is not connected but can be made connected by filling in a single point.

If the function factors and the bottom term cancels, the discontinuity at the x-value for which the denominator was zero is removable, so the graph has a hole in it.

If a term doesn’t cancel, the discontinuity at this x value corresponding to this term for which the denominator is zero is nonremovable, and the graph has a vertical asymptote."
239,representation function,function relation two one variable another variable represent different different ways usually,representation function function relation two one variable another variable represent different different ways usually,What is representation of a function?,"A function is a relation between two sets of variables such that one variable depends on another variable. We can represent different types of functions in different ways. Usually, functions are represented using formulas or graphs."
240,representation function four ways,function verbally function algebraically example x function numerically function graphically,representation function four ways function verbally function algebraically example x function numerically function graphically,What is representation of a function in four ways?,"A function can be represented verbally. 
A function can be represented algebraically. For example, 3x+6 3 x + 6 . 
A function can be represented numerically. 
A function can be represented graphically."
241,integrable function,function integrable integral well defined integral mathematical sense practical integrability continuity function continuous given interval integrable interval,integrable function function integrable integral well defined integral mathematical sense practical integrability continuity function continuous given interval integrable interval,What is integrable function?,"A function is integrable, when the integral is well defined — that is, that the integral makes mathematical sense. In practical terms, integrability hinges on continuity: If a function is continuous on a given interval, it's integrable on that interval."
242,change integral,calculus integration substitution also known change method counterpart chain rule differentiation loosely thought chain rule backwards,change integral calculus integration substitution also known change method counterpart chain rule differentiation loosely thought chain rule backwards,What is change of variables in integral?,"In calculus, integration by substitution, also known as u-substitution or change of variables, is a method for evaluating integrals and antiderivatives. It is the counterpart to the chain rule for differentiation, and can loosely be thought of as using the chain rule ""backwards""."
243,integral indefinite,indefinite integral function another function visually integral symbol function end indefinite integral easier way symbolize taking,integral indefinite indefinite integral function another function visually integral symbol function end indefinite integral easier way symbolize taking,What is integral indefinite?,"An indefinite integral is a function that takes the antiderivative of another function. It is visually represented as an integral symbol, a function, and then a dx at the end. The indefinite integral is an easier way to symbolize taking the antiderivative."
244,integral,definition calculus integral result function one variable example f x f x z way given,integral definition calculus integral result function one variable example f x f x z way given,What is integral iterated?,"Definition. • In calculus, an iterated integral is the result of applying. integrals to a function of more than one variable (for example. f(x,y) or f(x,y,z)) in a way that each of the integrals considers. some of the variables as given constants."
245,integration numerical,numerical integration approximate computation integral numerical numerical computation integral sometimes quadrature generalization trapezoidal rule integration yield accurate many function,integration numerical numerical integration approximate computation integral numerical numerical computation integral sometimes quadrature generalization trapezoidal rule integration yield accurate many function,What is integration numerical?,"Numerical integration is the approximate computation of an integral using numerical techniques. The numerical computation of an integral is sometimes called quadrature. A generalization of the trapezoidal rule is Romberg integration, which can yield accurate results for many fewer function evaluations."
246,integration,integration written product another function third function derivative good rule thumb follow would try first reformulate function correct form try integration,integration integration written product another function third function derivative good rule thumb follow would try first reformulate function correct form try integration,What is integration by parts?,"Integration by parts is for functions that can be written as the product of another function and a third function's derivative. A good rule of thumb to follow would be to try u-substitution first, and then if you cannot reformulate your function into the correct form, try integration by parts."
247,integration power series,within interval convergence integral power series sum individual x x see used find integral power series,integration power series within interval convergence integral power series sum individual x x see used find integral power series,What is integration of power series?,"Within its interval of convergence, the integral of a power series is the sum of integrals of individual terms: ∫Σf(x)dx=Σ∫f(x)dx. See how this is used to find the integral of a power series."
248,right cylinder,right circular cylinder cylinder closed circular surface two parallel bases whose perpendicular base also right cylinder two circular bases right cylinder radius parallel,right cylinder right circular cylinder cylinder closed circular surface two parallel bases whose perpendicular base also right cylinder two circular bases right cylinder radius parallel,What is right cylinder?,A right circular cylinder is a cylinder that has a closed circular surface having two parallel bases on both the ends and whose elements are perpendicular to its base. It is also called a right cylinder. The two circular bases of the right cylinder have the same radius and are parallel to each other.
249,rule,rule determine direction magnetic force positive moving charge point right thumb direction velocity v index finger direction magnetic field b middle finger point direction resulting magnetic force f negative affected force opposite direction,rule rule determine direction magnetic force positive moving charge point right thumb direction velocity v index finger direction magnetic field b middle finger point direction resulting magnetic force f negative affected force opposite direction,What is right-hand rule?,"The right-hand rule states that: to determine the direction of the magnetic force on a positive moving charge, point your right thumb in the direction of the velocity (v), your index finger in the direction of the magnetic field (B), and your middle finger will point in the direction of the resulting magnetic force (F). Negative charges will be affected by a force in the opposite direction."
250,root function,root function function expressed positive integer n greater graphical representation power dependent upon whether n even odd,root function root function function expressed positive integer n greater graphical representation power dependent upon whether n even odd,What is root function?,A root function is a function expressed by x^1/n for positive integer n greater than 1.  The graphical representation of power functions is dependent upon whether n is even or odd.  
251,root law,root law limit nth root function nth root limit function,root law root law limit nth root function nth root limit function,What is Root Law of Limits?,Root law for limits states that the limit of the nth root of a function equals the nth root of the limit of the function.
252,ruling surface,surface set swept moving straight line example cone formed keeping one point line fixed whilst moving another point along circle surface doubly every one two distinct lie surface,ruling surface surface set swept moving straight line example cone formed keeping one point line fixed whilst moving another point along circle surface doubly every one two distinct lie surface,What is ruling of a surface?,"A ruled surface can be described as the set of points swept by a moving straight line. For example, a cone is formed by keeping one point of a line fixed whilst moving another point along a circle. A surface is doubly ruled if through every one of its points there are two distinct lines that lie on the surface."
253,saddle point,mathematics saddle point point point surface graph function orthogonal zero critical point local function example saddle point critical point relative minimum along one axial direction relative maximum along crossing axis however saddle point need form example function f x critical point saddle point since neither relative maximum relative minimum relative maximum relative minimum,saddle point mathematics saddle point point point surface graph function orthogonal zero critical point local function example saddle point critical point relative minimum along one axial direction relative maximum along crossing axis however saddle point need form example function f x critical point saddle point since neither relative maximum relative minimum relative maximum relative minimum,What is saddle point?,"In mathematics, a saddle point or minimax point is a point on the surface of the graph of a function where the slopes (derivatives) in orthogonal directions are all zero (a critical point), but which is not a local extremum of the function. An example of a saddle point is when there is a critical point with a relative minimum along one axial direction (between peaks) and at a relative maximum along the crossing axis. However, a saddle point need not be in this form. For example, the function f(x,y)=x^2+y^3 has a critical point at  (0,0) that is a saddle point since it is neither a relative maximum nor relative minimum, but it does not have a relative maximum or relative minimum in the y-direction."
254,integration rational,recall rational function ratio two p x q x integrate proper rational function apply method partial method turn integral complicated rational function sum simpler,integration rational recall rational function ratio two p x q x integrate proper rational function apply method partial method turn integral complicated rational function sum simpler,What is integration of rational functions?,"Recall that a rational function is a ratio of two polynomials P(x)Q(x). To integrate a proper rational function, we can apply the method of partial fractions. ... This method allows to turn the integral of a complicated rational function into the sum of integrals of simpler functions."
255,integration substitution,method integration substitution given integral simple form integral substituting independent variable,integration substitution method integration substitution given integral simple form integral substituting independent variable,What is integration by substitution?,"In this method of integration by substitution, any given integral is transformed into a simple form of integral by substituting the independent variable by others."
256,curve sketching,function found setting function equal zero critical identify graph relative relative second derivative function function concave concave,curve sketching function found setting function equal zero critical identify graph relative relative second derivative function function concave concave,What is intercepts in curve sketching?,The x-intercepts of a function are found by setting the function equal to zero and solving for the roots. Critical numbers identify points on the graph which are relative maximums or relative minimums. The second derivative of a function indicates on which intervals the function is concave up or concave down.
